nom,date,cumulative_confirmed_deaths
Damas,2026-07-01,0
Aungba,2026-07-01,2
Rimba,2026-07-01,0
Aru,2026-07-01,1
Mambasa,2026-07-01,1
Logo,2026-07-01,0
Drodro,2026-07-01,3
Gety,2026-07-01,0
Kambala,2026-07-01,2
Nia-Nia,2026-07-01,5
Fataki,2026-07-01,0
Mandima,2026-07-01,1
Lolwa,2026-07-01,1
Butembo,2026-07-01,15
Katwa,2026-07-01,33
Beni,2026-07-01,15
Oicha,2026-07-01,2
Kalunguta,2026-07-01,1
Kyondo,2026-07-01,2
Goma,2026-07-01,0
Masereka,2026-07-01,0
Vuhovi,2026-07-01,1
Mabalako,2026-07-01,0
Musienene,2026-07-01,2
Miti-Murhesa,2026-07-01,1
NA,2026-07-01,0
Bunia,2026-07-02,106
Rwampara,2026-07-02,67
Mongbwalu,2026-07-02,136
Nyankunde,2026-07-02,16
Nizi,2026-07-02,19
Lita,2026-07-02,12
Komanda,2026-07-02,5
Bambu,2026-07-02,5
Kilo,2026-07-02,1
Mangala,2026-07-02,12
Tchomia,2026-07-02,2
Damas,2026-07-02,0
Aungba,2026-07-02,2
Rimba,2026-07-02,0
Aru,2026-07-02,1
Mambasa,2026-07-02,1
Logo,2026-07-02,0
Drodro,2026-07-02,3
Gety,2026-07-02,0
Kambala,2026-07-02,2
Nia-Nia,2026-07-02,5
Fataki,2026-07-02,0
Mandima,2026-07-02,1
Lolwa,2026-07-02,1
Butembo,2026-07-02,16
Katwa,2026-07-02,35
Beni,2026-07-02,16
Oicha,2026-07-02,2
Kalunguta,2026-07-02,1
Kyondo,2026-07-02,2
Goma,2026-07-02,0
Masereka,2026-07-02,0
Vuhovi,2026-07-02,1
Mabalako,2026-07-02,0
Musienene,2026-07-02,2
Miti-Murhesa,2026-07-02,1
NA,2026-07-02,0
Bunia,2026-07-03,112
Rwampara,2026-07-03,69
Mongbwalu,2026-07-03,139
Nyankunde,2026-07-03,17
Nizi,2026-07-03,19
Lita,2026-07-03,12
Komanda,2026-07-03,5
Bambu,2026-07-03,5
Kilo,2026-07-03,1
Mangala,2026-07-03,14
Tchomia,2026-07-03,2
Damas,2026-07-03,0
Aungba,2026-07-03,2
Rimba,2026-07-03,0
Aru,2026-07-03,1
Mambasa,2026-07-03,1
Logo,2026-07-03,0
Drodro,2026-07-03,3
Gety,2026-07-03,0
Kambala,2026-07-03,2
Nia-Nia,2026-07-03,5
Fataki,2026-07-03,0
Mandima,2026-07-03,1
Lolwa,2026-07-03,1
Butembo,2026-07-03,18
Katwa,2026-07-03,37
Beni,2026-07-03,17
Oicha,2026-07-03,2
Kalunguta,2026-07-03,1
Kyondo,2026-07-03,2
Goma,2026-07-03,0
Masereka,2026-07-03,0
Vuhovi,2026-07-03,1
Mabalako,2026-07-03,0
Musienene,2026-07-03,2
Miti-Murhesa,2026-07-03,1
NA,2026-07-03,0
